試合ID,日付,ラウンド,プール,イニング,攻撃チーム,守備チーム,投手ID,投手,打者ID,打者,イベント種別,選手ID,選手,移動前の塁,移動後の塁
788134,2026-03-08,Pool A,A,7,Panama,Canada,671936,Adam Macko,514630,Luis Castillo,暴投,624641,Edmundo Sosa,2B,3B
788134,2026-03-08,Pool A,A,7,Panama,Canada,671936,Adam Macko,514630,Luis Castillo,暴投,542194,Christian Bethancourt,1B,2B
788125,2026-03-08,Pool B,B,4,Mexico,Brazil,806891,Joao Gabriel Marostica,687401,Joey Ortiz,暴投,805373,Nacho Alvarez Jr.,3B,score
788125,2026-03-08,Pool B,B,4,Mexico,Brazil,806891,Joao Gabriel Marostica,687401,Joey Ortiz,暴投,693304,Nick Gonzales,2B,3B
788125,2026-03-08,Pool B,B,4,Mexico,Brazil,806891,Joao Gabriel Marostica,687401,Joey Ortiz,暴投,677950,Alek Thomas,1B,2B
788125,2026-03-08,Pool B,B,5,Mexico,Brazil,806891,Joao Gabriel Marostica,656029,Alexis Wilson,暴投,608841,Joey Meneses,1B,2B
788112,2026-03-09,Pool C,C,2,Korea,Australia,649143,Lachlan Wells,673526,Dong Won Park,盗塁（二塁）,823574,Si Hwan Roh,1B,2B
788112,2026-03-09,Pool C,C,5,Korea,Australia,649144,Alex Wells,823575,Bo Gyeong Moon,盗塁（二塁）,838336,Hyun Min Ahn,1B,2B
788112,2026-03-09,Pool C,C,6,Korea,Australia,649144,Alex Wells,838339,Do Yeong Kim,暴投,673526,Dong Won Park,2B,3B
788103,2026-03-09,Pool D,D,4,Dominican Republic,Israel,592848,Zack Weiss,672695,Geraldo Perdomo,盗塁死（三塁）,682663,Agustín Ramírez,2B,
788103,2026-03-09,Pool D,D,7,Dominican Republic,Israel,805374,Tanner Jacobson,665487,Fernando Tatis Jr.,盗塁（二塁）,672695,Geraldo Perdomo,1B,2B
788133,2026-03-09,Pool A,A,6,Panama,Colombia,672550,Danis Correa,682947,Jose Ramos,暴投,699024,Leo Bernal,1B,2B
788133,2026-03-09,Pool A,A,7,Panama,Colombia,664584,Jhon Romero,514913,Rubén Tejada,暴投,624641,Edmundo Sosa,2B,3B
788133,2026-03-09,Pool A,A,7,Panama,Colombia,664584,Jhon Romero,514913,Rubén Tejada,暴投,665804,Miguel Amaya,1B,2B
788133,2026-03-09,Pool A,A,8,Panama,Colombia,642857,Yapson Gomez,699024,Leo Bernal,盗塁（二塁）,676609,José Caballero,1B,2B
788133,2026-03-09,Pool A,A,8,Panama,Colombia,690345,Pedro Garcia,514630,Luis Castillo,盗塁（二塁）,542194,Christian Bethancourt,1B,2B
788123,2026-03-09,Pool B,B,5,Great Britain,Brazil,547921,Tiago Da Silva,695670,Harry Ford,盗塁（三塁）,572204,Trayce Thompson,2B,3B
788123,2026-03-09,Pool B,B,6,Great Britain,Brazil,622609,Hector Villarroel,689288,Matt Koperniak,盗塁（二塁）,671155,Ivan Johnson,1B,2B
788123,2026-03-09,Pool B,B,7,Great Britain,Brazil,828631,Joseph Contreras,681230,BJ Murray,盗塁死（二塁）,665862,Jazz Chisholm Jr.,1B,
788123,2026-03-09,Pool B,B,7,Great Britain,Brazil,828631,Joseph Contreras,671155,Ivan Johnson,盗塁（二塁）,681230,BJ Murray,1B,2B
788123,2026-03-09,Pool B,B,8,Great Britain,Brazil,649963,Bo Takahashi,800712,Wallace Clark,捕逸,572204,Trayce Thompson,1B,2B
788131,2026-03-09,Pool A,A,1,Puerto Rico,Cuba,678789,Julio Robaina,571448,Nolan Arenado,盗塁（二塁）,650489,Willi Castro,1B,2B
788131,2026-03-09,Pool A,A,6,Cuba,Puerto Rico,605441,Yacksel Ríos,628326,Erisbel Arruebarrena,暴投,493319,Alfredo Despaigne,2B,3B
788131,2026-03-09,Pool A,A,6,Puerto Rico,Cuba,820888,Emmanuel Chapman,656896,Emmanuel Rivera,盗塁（二塁）,592696,Eddie Rosario,1B,2B
