試合ID,日付,ラウンド,プール,イニング,攻撃チーム,守備チーム,投手ID,投手,打者ID,打者,投球数,打席結果,打点,一塁走者あり,二塁走者あり,三塁走者あり,打席,打数,安打,一塁打,二塁打,三塁打,本塁打,三振,四球,死球,犠打犠飛,塁打数
788120,2026-03-05,Pool C,C,7,Chinese Taipei,Australia,626943,Jon Kennedy,809006,Nien-Ting Wu,3,アウト,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
788120,2026-03-05,Pool C,C,7,Chinese Taipei,Australia,626943,Jon Kennedy,808997,Kun-Yu Chiang,4,アウト,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
788120,2026-03-05,Pool C,C,7,Chinese Taipei,Australia,626943,Jon Kennedy,624407,Tzu-Wei Lin,3,アウト,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
788120,2026-03-05,Pool C,C,7,Australia,Chinese Taipei,838359,Yi Chang,470491,Tim Kennelly,2,アウト,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
788120,2026-03-05,Pool C,C,7,Australia,Chinese Taipei,838359,Yi Chang,683953,Travis Bazzana,1,本塁打,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,4
788120,2026-03-05,Pool C,C,7,Australia,Chinese Taipei,838359,Yi Chang,678554,Curtis Mead,5,安打,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1
788120,2026-03-05,Pool C,C,7,Australia,Chinese Taipei,838359,Yi Chang,664334,Aaron Whitefield,3,アウト,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
788120,2026-03-05,Pool C,C,7,Australia,Chinese Taipei,838359,Yi Chang,673064,Alex Hall,7,アウト,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
788120,2026-03-05,Pool C,C,8,Chinese Taipei,Australia,626943,Jon Kennedy,691907,Tsung-Che Cheng,3,アウト,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
788120,2026-03-05,Pool C,C,8,Chinese Taipei,Australia,626943,Jon Kennedy,808992,Chen-Wei Chen,3,三振,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
