試合ID,日付,ラウンド,プール,イニング,攻撃チーム,守備チーム,投手ID,投手,打者ID,打者,投球番号,球種,判定,ストライク,ボール,球速（km/h）,ストライク判定,スイング,コンタクト,結果グループ
788120,2026-03-05,Pool C,C,3,Australia,Chinese Taipei,830717,Jo-Hsi Hsu,683953,Travis Bazzana,1,チェンジアップ,ストライク（空振り）,1,0,135.0,1,1,0,ストライク
788120,2026-03-05,Pool C,C,3,Australia,Chinese Taipei,830717,Jo-Hsi Hsu,683953,Travis Bazzana,2,チェンジアップ,ボール,1,1,137.3,0,0,0,ボール
788120,2026-03-05,Pool C,C,3,Australia,Chinese Taipei,830717,Jo-Hsi Hsu,683953,Travis Bazzana,3,カーブ,ファール,2,1,124.4,1,1,1,ファール
788120,2026-03-05,Pool C,C,3,Australia,Chinese Taipei,830717,Jo-Hsi Hsu,683953,Travis Bazzana,4,チェンジアップ,ファール,2,1,134.9,1,1,1,ファール
788120,2026-03-05,Pool C,C,3,Australia,Chinese Taipei,830717,Jo-Hsi Hsu,683953,Travis Bazzana,5,直球,ボール,2,2,151.8,0,0,0,ボール
788120,2026-03-05,Pool C,C,3,Australia,Chinese Taipei,830717,Jo-Hsi Hsu,683953,Travis Bazzana,6,チェンジアップ,ファール,2,2,136.3,1,1,1,ファール
788120,2026-03-05,Pool C,C,3,Australia,Chinese Taipei,830717,Jo-Hsi Hsu,683953,Travis Bazzana,7,直球,ボール,2,3,152.2,0,0,0,ボール
788120,2026-03-05,Pool C,C,3,Australia,Chinese Taipei,830717,Jo-Hsi Hsu,683953,Travis Bazzana,8,チェンジアップ,死球,2,3,135.7,0,0,0,ボール
788120,2026-03-05,Pool C,C,3,Australia,Chinese Taipei,830717,Jo-Hsi Hsu,678554,Curtis Mead,1,カーブ,ストライク（見逃し）,1,0,123.6,1,0,0,ストライク
788120,2026-03-05,Pool C,C,3,Australia,Chinese Taipei,830717,Jo-Hsi Hsu,678554,Curtis Mead,2,カットボール,インプレー,1,0,139.0,1,1,1,インプレー
788120,2026-03-05,Pool C,C,4,Chinese Taipei,Australia,672552,Jack O'Loughlin,838360,An-Ko Lin,1,スライダー,ボール,0,1,137.3,0,0,0,ボール
788120,2026-03-05,Pool C,C,4,Chinese Taipei,Australia,672552,Jack O'Loughlin,838360,An-Ko Lin,2,スライダー,ストライク（見逃し）,1,1,136.5,1,0,0,ストライク
788120,2026-03-05,Pool C,C,4,Chinese Taipei,Australia,672552,Jack O'Loughlin,838360,An-Ko Lin,3,スイーパー,インプレー,1,1,132.1,1,1,1,インプレー
788120,2026-03-05,Pool C,C,4,Chinese Taipei,Australia,672552,Jack O'Loughlin,808993,Chieh-Hsien Chen,1,スライダー,ボール,0,1,140.5,0,0,0,ボール
788120,2026-03-05,Pool C,C,4,Chinese Taipei,Australia,672552,Jack O'Loughlin,808993,Chieh-Hsien Chen,2,スライダー,ボール,0,2,139.9,0,0,0,ボール
788120,2026-03-05,Pool C,C,4,Chinese Taipei,Australia,672552,Jack O'Loughlin,808993,Chieh-Hsien Chen,3,直球,インプレー,0,2,150.8,1,1,1,インプレー
788120,2026-03-05,Pool C,C,4,Chinese Taipei,Australia,672552,Jack O'Loughlin,644374,Yu Chang,1,直球,ボール,0,1,145.3,0,0,0,ボール
788120,2026-03-05,Pool C,C,4,Chinese Taipei,Australia,672552,Jack O'Loughlin,644374,Yu Chang,2,チェンジアップ,ボール,0,2,139.5,0,0,0,ボール
788120,2026-03-05,Pool C,C,4,Chinese Taipei,Australia,672552,Jack O'Loughlin,644374,Yu Chang,3,スライダー,死球,0,2,138.9,0,0,0,ボール
788120,2026-03-05,Pool C,C,4,Chinese Taipei,Australia,672552,Jack O'Loughlin,809006,Nien-Ting Wu,1,スライダー,ストライク（空振り）,1,0,140.3,1,1,0,ストライク
788120,2026-03-05,Pool C,C,4,Chinese Taipei,Australia,672552,Jack O'Loughlin,809006,Nien-Ting Wu,2,スイーパー,ストライク（見逃し）,2,0,132.9,1,0,0,ストライク
788120,2026-03-05,Pool C,C,4,Chinese Taipei,Australia,672552,Jack O'Loughlin,809006,Nien-Ting Wu,3,直球,ボール,2,1,149.2,0,0,0,ボール
788120,2026-03-05,Pool C,C,4,Chinese Taipei,Australia,672552,Jack O'Loughlin,809006,Nien-Ting Wu,4,スイーパー,ボール,2,2,134.1,0,0,0,ボール
788120,2026-03-05,Pool C,C,4,Chinese Taipei,Australia,672552,Jack O'Loughlin,809006,Nien-Ting Wu,5,スライダー,ストライク（空振り）,3,2,139.7,1,1,0,ストライク
788120,2026-03-05,Pool C,C,4,Australia,Chinese Taipei,830717,Jo-Hsi Hsu,664334,Aaron Whitefield,1,直球,ボール,0,1,147.6,0,0,0,ボール
788120,2026-03-05,Pool C,C,4,Australia,Chinese Taipei,830717,Jo-Hsi Hsu,664334,Aaron Whitefield,2,直球,ファール,1,1,145.6,1,1,1,ファール
