試合ID,日付,ラウンド,プール,守備チーム,投手ID,投手,投球回,投球回（小数）,自責点,失点,被安打,奪三振,与四球,被本塁打,対戦打者数,投球数
788105,2026-03-06,Pool D,D,Nicaragua,678897,Bryan Torres,0.2,0.6666666666666666,1,1,2,0,1,0,5,16
788105,2026-03-06,Pool D,D,Dominican Republic,650911,Cristopher Sánchez,1.1,1.3333333333333333,3,3,6,4,1,0,12,43
788105,2026-03-06,Pool D,D,Dominican Republic,623211,Huascar Brazobán,1.2,1.6666666666666665,0,0,0,1,0,0,5,16
788105,2026-03-06,Pool D,D,Dominican Republic,675848,Juan Mejia,1.0,1.0,0,0,0,0,0,0,3,16
788105,2026-03-06,Pool D,D,Dominican Republic,642701,Dennis Santana,1.0,1.0,0,0,0,0,0,0,3,7
788105,2026-03-06,Pool D,D,Dominican Republic,622554,Seranthony Domínguez,1.0,1.0,0,0,1,0,0,0,4,9
788105,2026-03-06,Pool D,D,Dominican Republic,593974,Wandy Peralta,1.0,1.0,0,0,0,0,0,0,4,12
788105,2026-03-06,Pool D,D,Dominican Republic,666808,Camilo Doval,1.0,1.0,0,0,0,0,0,0,3,11
788105,2026-03-06,Pool D,D,Dominican Republic,642397,Gregory Soto,0.1,0.3333333333333333,0,0,2,1,1,0,4,24
788105,2026-03-06,Pool D,D,Dominican Republic,665660,Elvis Alvarado,0.2,0.6666666666666666,0,0,0,0,0,0,1,2
788128,2026-03-06,Pool B,B,United States,657277,Logan Webb,4.0,4.0,1,1,1,6,0,1,13,52
788128,2026-03-06,Pool B,B,United States,608379,Michael Wacha,3.0,3.0,3,3,4,5,0,1,13,39
788128,2026-03-06,Pool B,B,United States,642100,Gabe Speier,1.0,1.0,1,1,1,2,0,1,4,14
788128,2026-03-06,Pool B,B,United States,695243,Mason Miller,1.0,1.0,0,0,0,3,1,0,4,23
788128,2026-03-06,Pool B,B,Brazil,649963,Bo Takahashi,1.0,1.0,2,2,3,1,1,1,7,37
788128,2026-03-06,Pool B,B,Brazil,828631,Joseph Contreras,1.1,1.3333333333333333,1,1,2,0,3,0,8,33
788128,2026-03-06,Pool B,B,Brazil,547921,Tiago Da Silva,1.2,1.6666666666666665,0,0,0,0,1,0,6,24
788128,2026-03-06,Pool B,B,Brazil,600986,Thyago Vieira,0.1,0.3333333333333333,2,2,0,0,2,0,3,13
788128,2026-03-06,Pool B,B,Brazil,682858,Gabriel Barbosa,0.2,0.6666666666666666,2,2,1,0,2,0,6,18
